Timestamp,Warehouse Name,Owner Name,Contact Email,Contact Phone,Location City,Location State/Region,Storage Type,Total Capacity (Pallets),Current Vacant Capacity (Pallets),Price per Pallet Space / Day (INR),Amenities / Special Certifications
2026-07-01 08:30:00,Hindustan Cold Chain,Rajesh Sharma,rsharma@hindustancold.in,+91-98765-43210,Mumbai,Maharashtra,Deep Freeze (-18°C to -25°C),5000,1200,150,"HACCP Certified, 24/7 Security, Backup Power Generator, Loading Docks"
2026-07-02 10:15:00,Apex Ambient & Chill,Vikram Mehta,vmehta@apexlogistics.in,+91-98234-56789,Delhi,NCR,Chilled (0°C to 4°C),8000,3400,110,"HACCP Certified, ISO 22000, Loading Docks, Cross-Docking"
2026-07-02 14:22:00,Deccan Glacier Hub,Kiran Kumar,kkumar@deccanglacier.in,+91-98450-12345,Bengaluru,Karnataka,Deep Freeze (-18°C to -25°C),3000,450,180,"HACCP Certified, 24/7 Security, Backup Power Generator"
2026-07-02 16:45:00,Coromandel Fresh Hub,Priya Nair,pnair@coromandelfood.in,+91-98401-23456,Chennai,Tamil Nadu,Chilled (0°C to 4°C),6500,2100,130,"ISO 22000, 24/7 Security, Loading Docks, Cross-Docking"
2026-07-03 09:05:00,Bengal Ambient Warehousing,Amit Banerjee,abanerjee@bengalwh.in,+91-98300-65432,Kolkata,West Bengal,Ambient (15°C to 25°C),12000,5600,65,"24/7 Security, Loading Docks, Cross-Docking"
2026-07-03 11:10:00,Nizams Cold Storage,Sanjay Reddy,sreddy@nizamscold.in,+91-98480-98765,Hyderabad,Telangana,Chilled (0°C to 4°C),4500,150,140,"HACCP Certified, Backup Power Generator, Loading Docks"
2026-07-03 13:40:00,Marwar Deep Freeze,Arjun Singh,asingh@marwarstorage.in,+91-98290-11223,Jaipur,Rajasthan,Deep Freeze (-18°C to -25°C),4000,2800,140,"HACCP Certified, 24/7 Security, Backup Power Generator, Loading Docks"
2026-07-03 15:30:00,Gujarat Logistics Center,Dinesh Patel,dpatel@gujaratlog.in,+91-98250-44556,Ahmedabad,Gujarat,Ambient (15°C to 25°C),15000,8900,60,"ISO 22000, Loading Docks, Cross-Docking"
2026-07-03 16:10:00,Nashik Grape Cold Storage,Santosh Patil,spatil@nashikcold.in,+91-98500-11111,Nashik,Maharashtra,Chilled (0°C to 4°C),6000,1800,115,"HACCP Certified, 24/7 Security, Loading Docks"
2026-07-03 17:00:00,Ratnagiri Mango Cold Chain,Anant Desai,adesai@ratnagirifresh.in,+91-98220-22222,Ratnagiri,Maharashtra,Chilled (0°C to 4°C),4000,1200,130,"HACCP Certified, ISO 22000, Loading Docks"
2026-07-03 17:45:00,Sangli Turmeric Warehouse,Vijay Mali,vmali@sanglistorage.in,+91-98220-33333,Sangli,Maharashtra,Ambient (15°C to 25°C),8000,2400,75,"24/7 Security, Loading Docks"
2026-07-03 18:20:00,Alwar Onion Storage Hub,Rajesh Yadav,ryadav@alwarstorage.in,+91-98290-44444,Alwar,Rajasthan,Ambient (15°C to 25°C),10000,3500,70,"Backup Power Generator, Loading Docks"
2026-07-03 19:10:00,Karnal Rice & Grain Warehouse,Baldev Singh,bsingh@karnalgrain.in,+91-98120-55555,Karnal,Haryana,Ambient (15°C to 25°C),12000,4500,85,"ISO 22000, 24/7 Security, Loading Docks"
2026-07-03 20:05:00,Shimla Apple Cold Chamber,Sohan Negi,snegi@shimlaapples.in,+91-98160-66666,Shimla,Himachal Pradesh,Chilled (0°C to 4°C),5000,950,135,"24/7 Security, Backup Power Generator, Loading Docks"
